Date,Daily Confirmed,Total Confirmed,Daily Recovered,Total Recovered,Daily Deceased,Total Deceased,Recovery Rate,Death Rate,Active Cases,infection_rate,samples_reported
30-01-2020,1,1,0,0,0,0,0,0,1,0.0000,0
31-01-2020,0,1,0,0,0,0,0,0,1,0.0000,0
01-02-2020,0,1,0,0,0,0,0,0,1,0.0000,0
02-02-2020,1,2,0,0,0,0,0,0,2,0.0000,0
03-02-2020,1,3,0,0,0,0,0,0,3,0.0000,0
04-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
05-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
06-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
07-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
08-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
09-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
10-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
11-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
12-02-2020,0,3,0,0,0,0,0,0,3,0.0000,0
13-02-2020,0,3,1,1,0,0,33.33,0,2,0.0000,0
14-02-2020,0,3,0,1,0,0,33.33,0,2,0.0000,0
15-02-2020,0,3,0,1,0,0,33.33,0,2,0.0000,0
16-02-2020,0,3,1,2,0,0,66.67,0,1,0.0000,0
17-02-2020,0,3,0,2,0,0,66.67,0,1,0.0000,0
18-02-2020,0,3,0,2,0,0,66.67,0,1,0.0000,0
19-02-2020,0,3,0,2,0,0,66.67,0,1,0.0000,0
20-02-2020,0,3,1,3,0,0,100,0,0,0.0000,0
21-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
22-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
23-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
24-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
25-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
26-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
27-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
28-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
29-02-2020,0,3,0,3,0,0,100,0,0,0.0000,0
01-03-2020,0,3,0,3,0,0,100,0,0,0.0000,0
02-03-2020,2,5,0,3,0,0,60,0,2,0.0000,0
03-03-2020,1,6,0,3,0,0,50,0,3,0.0000,0
04-03-2020,22,28,0,3,0,0,10.71,0,25,0.0000,0
